run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
60_1,5,0.006,1000,0.489264759,0.01,10,2.65,1,0.00979,3.064351379,204.3883157,0.012263299
60_2,5,0.006,1000,0.489264759,0.011,10,2.65,1,0.00979,3.064351379,224.8271472,0.012263299
60_3,5,0.006,1000,0.489264759,0.012,10,2.65,1,0.00979,3.064351379,245.2659788,0.012263299
60_4,5,0.006,1000,0.489264759,0.013,10,2.65,1,0.00979,3.064351379,265.7048103,0.012263299
60_5,5,0.006,1000,0.489264759,0.014,10,2.65,1,0.00979,3.064351379,286.1436419,0.012263299
60_6,5,0.006,1000,0.489264759,0.015,10,2.65,1,0.00979,3.064351379,306.5824735,0.012263299
60_7,5,0.006,1000,0.489264759,0.016,10,2.65,1,0.00979,3.064351379,327.021305,0.012263299
60_8,5,0.006,1000,0.489264759,0.017,10,2.65,1,0.00979,3.064351379,347.4601366,0.012263299
60_9,5,0.006,1000,0.489264759,0.018,10,2.65,1,0.00979,3.064351379,367.8989682,0.012263299
60_10,5,0.006,1000,0.489264759,0.019,10,2.65,1,0.00979,3.064351379,388.3377997,0.012263299
60_11,5,0.006,1000,0.489264759,0.02,10,2.65,1,0.00979,3.064351379,408.7766313,0.012263299
60_12,5,0.006,1000,0.489264759,0.021,10,2.65,1,0.00979,3.064351379,429.2154629,0.012263299
60_13,5,0.006,1000,0.489264759,0.022,10,2.65,1,0.00979,3.064351379,449.6542944,0.012263299
60_14,5,0.006,1000,0.489264759,0.023,10,2.65,1,0.00979,3.064351379,470.093126,0.012263299
60_15,5,0.006,1000,0.489264759,0.024,10,2.65,1,0.00979,3.064351379,490.5319576,0.012263299
60_16,5,0.006,1000,0.489264759,0.025,10,2.65,1,0.00979,3.064351379,510.9707891,0.012263299
60_17,5,0.006,1000,0.489264759,0.026,10,2.65,1,0.00979,3.064351379,531.4096207,0.012263299
60_18,5,0.006,1000,0.489264759,0.027,10,2.65,1,0.00979,3.064351379,551.8484523,0.012263299
60_19,5,0.006,1000,0.489264759,0.028,10,2.65,1,0.00979,3.064351379,572.2872838,0.012263299
60_20,5,0.006,1000,0.489264759,0.029,10,2.65,1,0.00979,3.064351379,592.7261154,0.012263299
60_21,5,0.006,1000,0.489264759,0.03,10,2.65,1,0.00979,3.064351379,613.164947,0.012263299
60_22,5,0.006,1000,0.489264759,0.031,10,2.65,1,0.00979,3.064351379,633.6037785,0.012263299
60_23,5,0.006,1000,0.489264759,0.032,10,2.65,1,0.00979,3.064351379,654.0426101,0.012263299
60_24,5,0.006,1000,0.489264759,0.033,10,2.65,1,0.00979,3.064351379,674.4814417,0.012263299
60_25,5,0.006,1000,0.489264759,0.034,10,2.65,1,0.00979,3.064351379,694.9202732,0.012263299
60_26,5,0.006,1000,0.489264759,0.035,10,2.65,1,0.00979,3.064351379,715.3591048,0.012263299
60_27,5,0.006,1000,0.489264759,0.036,10,2.65,1,0.00979,3.064351379,735.7979363,0.012263299
60_28,5,0.006,1000,0.489264759,0.037,10,2.65,1,0.00979,3.064351379,756.2367679,0.012263299
60_29,5,0.006,1000,0.489264759,0.038,10,2.65,1,0.00979,3.064351379,776.6755995,0.012263299
60_30,5,0.006,1000,0.489264759,0.039,10,2.65,1,0.00979,3.064351379,797.114431,0.012263299
60_31,5,0.006,1000,0.489264759,0.04,10,2.65,1,0.00979,3.064351379,817.5532626,0.012263299
60_32,5,0.006,1000,0.489264759,0.041,10,2.65,1,0.00979,3.064351379,837.9920942,0.012263299
60_33,5,0.006,1000,0.489264759,0.042,10,2.65,1,0.00979,3.064351379,858.4309257,0.012263299
60_34,5,0.006,1000,0.489264759,0.043,10,2.65,1,0.00979,3.064351379,878.8697573,0.012263299
60_35,5,0.006,1000,0.489264759,0.044,10,2.65,1,0.00979,3.064351379,899.3085889,0.012263299
60_36,5,0.006,1000,0.489264759,0.045,10,2.65,1,0.00979,3.064351379,919.7474204,0.012263299
60_37,5,0.006,1000,0.489264759,0.046,10,2.65,1,0.00979,3.064351379,940.186252,0.012263299
60_38,5,0.006,1000,0.489264759,0.047,10,2.65,1,0.00979,3.064351379,960.6250836,0.012263299
60_39,5,0.006,1000,0.489264759,0.048,10,2.65,1,0.00979,3.064351379,981.0639151,0.012263299
60_40,5,0.006,1000,0.489264759,0.049,10,2.65,1,0.00979,3.064351379,1001.502747,0.012263299
60_41,5,0.006,1000,0.489264759,0.05,10,2.65,1,0.00979,3.064351379,1021.941578,0.012263299
60_42,5,0.006,1000,0.489264759,0.051,10,2.65,1,0.00979,3.064351379,1042.38041,0.012263299
60_43,5,0.006,1000,0.489264759,0.052,10,2.65,1,0.00979,3.064351379,1062.819241,0.012263299
60_44,5,0.006,1000,0.489264759,0.053,10,2.65,1,0.00979,3.064351379,1083.258073,0.012263299
60_45,5,0.006,1000,0.489264759,0.054,10,2.65,1,0.00979,3.064351379,1103.696905,0.012263299
60_46,5,0.006,1000,0.489264759,0.055,10,2.65,1,0.00979,3.064351379,1124.135736,0.012263299
60_47,5,0.006,1000,0.489264759,0.056,10,2.65,1,0.00979,3.064351379,1144.574568,0.012263299
60_48,5,0.006,1000,0.489264759,0.057,10,2.65,1,0.00979,3.064351379,1165.013399,0.012263299
60_49,5,0.006,1000,0.489264759,0.058,10,2.65,1,0.00979,3.064351379,1185.452231,0.012263299
60_50,5,0.006,1000,0.489264759,0.059,10,2.65,1,0.00979,3.064351379,1205.891062,0.012263299
60_51,5,0.006,1000,0.489264759,0.06,10,2.65,1,0.00979,3.064351379,1226.329894,0.012263299
60_52,5,0.006,1000,0.489264759,0.061,10,2.65,1,0.00979,3.064351379,1246.768725,0.012263299
60_53,5,0.006,1000,0.489264759,0.062,10,2.65,1,0.00979,3.064351379,1267.207557,0.012263299
60_54,5,0.006,1000,0.489264759,0.063,10,2.65,1,0.00979,3.064351379,1287.646389,0.012263299
60_55,5,0.006,1000,0.489264759,0.064,10,2.65,1,0.00979,3.064351379,1308.08522,0.012263299
60_56,5,0.006,1000,0.489264759,0.065,10,2.65,1,0.00979,3.064351379,1328.524052,0.012263299
60_57,5,0.006,1000,0.489264759,0.066,10,2.65,1,0.00979,3.064351379,1348.962883,0.012263299
60_58,5,0.006,1000,0.489264759,0.067,10,2.65,1,0.00979,3.064351379,1369.401715,0.012263299
60_59,5,0.006,1000,0.489264759,0.068,10,2.65,1,0.00979,3.064351379,1389.840546,0.012263299
60_60,5,0.006,1000,0.489264759,0.069,10,2.65,1,0.00979,3.064351379,1410.279378,0.012263299
60_61,5,0.006,1000,0.489264759,0.07,10,2.65,1,0.00979,3.064351379,1430.71821,0.012263299
60_62,6,0.006,1000,0.489264759,0.01,10,2.65,1,0.00979,3.677221655,204.3883157,0.012263299
60_63,6,0.006,1000,0.489264759,0.011,10,2.65,1,0.00979,3.677221655,224.8271472,0.012263299
60_64,6,0.006,1000,0.489264759,0.012,10,2.65,1,0.00979,3.677221655,245.2659788,0.012263299
60_65,6,0.006,1000,0.489264759,0.013,10,2.65,1,0.00979,3.677221655,265.7048103,0.012263299
60_66,6,0.006,1000,0.489264759,0.014,10,2.65,1,0.00979,3.677221655,286.1436419,0.012263299
60_67,6,0.006,1000,0.489264759,0.015,10,2.65,1,0.00979,3.677221655,306.5824735,0.012263299
60_68,6,0.006,1000,0.489264759,0.016,10,2.65,1,0.00979,3.677221655,327.021305,0.012263299
60_69,6,0.006,1000,0.489264759,0.017,10,2.65,1,0.00979,3.677221655,347.4601366,0.012263299
60_70,6,0.006,1000,0.489264759,0.018,10,2.65,1,0.00979,3.677221655,367.8989682,0.012263299
60_71,6,0.006,1000,0.489264759,0.019,10,2.65,1,0.00979,3.677221655,388.3377997,0.012263299
60_72,6,0.006,1000,0.489264759,0.02,10,2.65,1,0.00979,3.677221655,408.7766313,0.012263299
60_73,6,0.006,1000,0.489264759,0.021,10,2.65,1,0.00979,3.677221655,429.2154629,0.012263299
