run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
60_1,10,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,398.7510198,256.1624696,0.015369748
60_2,10,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,457.6214631,334.8128996,0.013392516
60_3,10,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,504.5897323,404.8637514,0.012145913
60_4,10,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,544.3161794,469.1438994,0.011259454
60_5,10,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,579.085896,529.1704391,0.010583409
60_6,10,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,610.2104392,585.8760157,0.010043589
60_7,10,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,638.5207445,639.8855282,0.009598283
60_8,10,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,664.5804571,691.64343,0.009221912
60_9,10,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,688.791606,741.4800433,0.008897761
60_10,10,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,711.4522202,789.6493072,0.008614356
60_11,10,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,732.7900941,836.3517476,0.008363517
60_12,10,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,752.9837229,881.7492047,0.008139223
60_13,10,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,772.1758866,925.9746829,0.007936926
60_14,15,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,598.1265296,256.1624696,0.015369748
60_15,15,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,686.4321946,334.8128996,0.013392516
60_16,15,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,756.8845985,404.8637514,0.012145913
60_17,15,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,816.4742692,469.1438994,0.011259454
60_18,15,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,868.628844,529.1704391,0.010583409
60_19,15,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,915.3156588,585.8760157,0.010043589
60_20,15,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,957.7811167,639.8855282,0.009598283
60_21,15,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,996.8706857,691.64343,0.009221912
60_22,15,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,1033.187409,741.4800433,0.008897761
60_23,15,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,1067.17833,789.6493072,0.008614356
60_24,15,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,1099.185141,836.3517476,0.008363517
60_25,15,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,1129.475584,881.7492047,0.008139223
60_26,15,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,1158.26383,925.9746829,0.007936926
