run_ID,paper,Re_c,Calc_Re,d_c,r_c,biofilm,growth_days,growth_cat,c_type,frontal_area,frontal_area_unit_volume,height,eta_not,eta,particle_type,p_density,d_p_cm,d_p_um,f_density,c_density,ave_velocity_cm,radius_ratio,kin_viscosity_cm2,diameter_m,velocity_m
10192018,ESDL,199.034,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,0,0.039348291,40,,,Crushed Walnut Shell,1.53,0.0032,32,1,0,6,0.006299213,9.51E-03,0.003175,
11152018,ESDL,199.034,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,460.375,0.039348291,40,,0.002534307,Crushed Walnut Shell,1.53,0.0032,32,1,1450,6,0.006299213,9.51E-03,0.003175,0.06
12042018,ESDL,199.034,No,0.3175,0.15875,yes,20,3,Cylindrical wooden pine dowels,460.375,0.039348291,40,,0.003408386,Crushed Walnut Shell,1.53,0.0032,32,1,1450,6,0.006299213,9.51E-03,0.003175,0.06
1312019,ESDL,199.034,No,0.3175,0.15875,yes,46,3,Cylindrical wooden pine dowels,460.375,0.039348291,38.5,,0.005424981,Crushed Walnut Shell,1.53,0.0032,32,1,1450,6,0.006299213,9.51E-03,0.003175,0.06
4172019,ESDL,199.034,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,0,0.007544017,40,,,Crushed Walnut Shell,1.53,0.0032,32,1,0,6,0.006299213,9.51E-03,0.003175,0.06
5062019,ESDL,199.034,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,88.265,0.007544017,40,,0.013213717,Crushed Walnut Shell,1.53,0.0032,32,1,278,6,0.006299213,9.51E-03,0.003175,0.06
6122019,ESDL,199.034,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,254,0.021709402,40,,0.004630902,Crushed Walnut Shell,1.53,0.0032,32,1,800,6,0.006299213,9.51E-03,0.003175,0.06
7012019,ESDL,199.034,No,0.3175,0.15875,yes,18,3,Cylindrical wooden pine dowels,254,0.021709402,40,,0.005676627,Crushed Walnut Shell,1.53,0.0032,32,1,800,6,0.006299213,9.51E-03,0.003175,0.06
7292019,ESDL,68.148,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,0,0.021709402,40,,,Crushed Walnut Shell,1.53,0.0032,32,1,0,2,0.006299213,9.51E-03,0.003175,
8082019,ESDL,133.591,No,0.3175,0.15875,no,0,none,Cylindrical wooden pine dowels,0,0.006295726,40,,,Crushed Walnut Shell,1.53,0.0032,32,1,0,4,0.006299213,9.51E-03,0.003175,0.02
