"","run_ID","paper","eta","Re_c","frontal_area_unit_volume","height","d_c","d_p_cm","radius_ratio","ave_velocity_cm","kin_viscosity_cm2","f_density","c_density","L","J","logY","logX1","logX2","logX4","logX5","predlogeta"
"1","181115","ESDL",0.000488,229.17,0.039348291,40,0.3175,0.002,0.006299213,6,0.00979,1,1450,45.1511506925916,0.0124930823925,-7.62519515211113,5.43446408622138,-4.38258019646094,-5.0673305740228,3.8100157655314,-6.19460338389904
"2","181204","ESDL",0.000656,229.17,0.039348291,40,0.3175,0.002,0.006299213,6,0.00979,1,1450,45.1511506925916,0.0124930823925,-7.32934976902018,5.43446408622138,-4.38258019646094,-5.0673305740228,3.8100157655314,-6.19460338389904
"3","190131","ESDL",0.001045,229.17,0.039348291,38.5,0.3175,0.002,0.006299213,6,0.00979,1,1450,45.1511506925916,0.0124930823925,-6.86373839356536,5.43446408622138,-4.38258019646094,-5.0673305740228,3.8100157655314,-6.19460338389904
"4","190506","ESDL",0.002545,229.17,0.007544017,40,0.3175,0.002,0.006299213,6,0.00979,1,278,26.0352099501595,0.0023952253975,-5.97362462897965,5.43446408622138,-6.03427794085646,-5.0673305740228,3.25944985073289,-5.42654649038093
"5","190612","ESDL",0.000892,229.17,0.021709402,40,0.3175,0.002,0.006299213,6,0.00979,1,800,37.0319133555578,0.006892735135,-7.02204442538426,5.43446408622138,-4.97728730103088,-5.0673305740228,3.61178006400809,-5.9180583000064
"6","190701","ESDL",0.001093,229.17,0.021709402,40,0.3175,0.002,0.006299213,6,0.00979,1,800,37.0319133555578,0.006892735135,-6.81882906978774,5.43446408622138,-4.97728730103088,-5.0673305740228,3.61178006400809,-5.9180583000064
"7","190905","ESDL",0.006996,76.39,0.007544017,40,0.3175,0.002,0.006299213,2,0.00979,1,278,8.67840331671984,0.0023952253975,-4.96241672182578,4.33585179755327,-6.03427794085646,-5.0673305740228,2.16083756206479,-5.42201305111503
"8","190918","ESDL",0.003447,229.17,0.007544017,40,0.3175,0.002,0.006299213,6,0.00979,1,278,26.0352099501595,0.0023952253975,-5.67025099144741,5.43446408622138,-6.03427794085646,-5.0673305740228,3.25944985073289,-5.42654649038093
"9","190926","ESDL",0.003871,152.78,0.007544017,40,0.3175,0.002,0.006299213,4,0.00979,1,278,17.3568066334397,0.0023952253975,-5.55424240738663,5.02899897811321,-6.03427794085646,-5.0673305740228,2.85398474262473,-5.42487333283389
"10","191029","ESDL",0.001763363,63.184,0.021709402,40,0.3175,0.002,0.006299213,2,0.00979,1,800,12.3439711185193,0.006892735135,-6.34053249772497,4.14605110454429,-4.97728730103088,-5.0673305740228,2.51316777533998,-5.87031473277346
